公开(公告)号,标题,申请日,公开(公告)日,当前申请(专利权)人,发明人,法律状态/事件
CN108119166A,强震区跨大型活动断裂带隧道装配式衬砌结构及隧道,2017-12-15,2018-06-05,西南交通大学,高波 | 郑清 | 申玉生 | 闫高明 | 范凯祥 | 王英学 | 闻毓民 | 隋传毅 | 杨佳奇 | 朱双燕 | 曹帮俊 | 资晓鱼 | 黎圣林 | 周鹏发 | 赵建沣 | 唐浪洲,未缴年费
CN108119166B,强震区跨大型活动断裂带隧道装配式衬砌结构及隧道,2017-12-15,2019-08-23,西南交通大学,高波 | 郑清 | 申玉生 | 闫高明 | 范凯祥 | 王英学 | 闻毓民 | 隋传毅 | 杨佳奇 | 朱双燕 | 曹帮俊 | 资晓鱼 | 黎圣林 | 周鹏发 | 赵建沣 | 唐浪洲,未缴年费
CN110836120A,适用于穿越活断层的自监测调节的隧道衬砌结构及施工方法,2019-11-07,2020-02-25,山东大学,薛翊国 | 宋茜 | 邱道宏 | 孔凡猛 | 柏成浩 | 公惠民,授权
CN110836120B,适用于穿越活断层的自监测调节的隧道衬砌结构及施工方法,2019-11-07,2020-11-06,山东大学,薛翊国 | 宋茜 | 邱道宏 | 孔凡猛 | 柏成浩 | 公惠民,授权
CN110043278A,一种穿越活动断裂带的分级抗断型山岭隧道结构及其施工方法,2019-04-12,2019-07-23,北京工业大学,杜修力 | 汪振 | 赵密 | 钟紫蓝 | 赵旭 | 黄景琦,授权 | 一案双申
CN210033452U,一种穿越活动断裂带的分级抗断型山岭隧道结构,2019-04-12,2020-02-07,北京工业大学,杜修力 | 汪振 | 赵密 | 钟紫蓝 | 赵旭 | 黄景琦,授权 | 一案双申
CN211114102U,一种模块化集装箱建筑,2019-09-25,2020-07-28,成都归谷环境科技有限责任公司,吴长春 | 殷永辉 | 李明林 | 赵田才 | 孟猛 | 揭会斌 | 李嘉伟,授权
CN110043278B,一种穿越活动断裂带的分级抗断型山岭隧道结构及其施工方法,2019-04-12,2021-04-09,北京工业大学,杜修力 | 汪振 | 赵密 | 钟紫蓝 | 赵旭 | 黄景琦,授权 | 一案双申
CN114441341A,一种用于冰碛物动态性能测试的土体剪切装置,2022-01-24,2022-05-06,西南交通大学,张迎宾 | 贺建先 | 丁天力 | 富海鹰 | 余鹏程 | 李得建 | 赵炼恒 | 黄达,公开
CN111160644A,一种基于地质灾害风险评估的铁路选线方法及其装置,2019-12-27,2020-05-15,成都理工大学,李天斌 | 马俊杰 | 曾鹏 | 吴君艳,实质审查
CN211950759U,一种铁路轨道能量采集装置,2020-03-09,2020-11-17,西南交通大学,吴小平 | 张庭生 | 朱强 | 樊亚伦 | 余玺 | 张祖涛,授权
CN112033708A,一种高速列车过局部加热隧道动模型实验系统及方法,2020-09-11,2020-12-04,中南大学,王田天 | 张雷 | 王军彦 | 钱博森 | 杨明智 | 周丹 | 伍钒,授权
CN112033708B,一种高速列车过局部加热隧道动模型实验系统及方法,2020-09-11,2021-06-04,中南大学,王田天 | 张雷 | 王军彦 | 钱博森 | 杨明智 | 周丹 | 伍钒,授权
CN113959851A,一种监测岩爆孕育过程微裂纹演化规律的实验方法,2021-10-19,2022-01-21,辽宁科技大学,任富强 | 常远 | 王涵,实质审查
CN111475924A,一种降雨诱发变形的卸荷岩质边坡稳定性分析方法,2020-03-18,2020-07-31,中铁二院工程集团有限责任公司,张广泽 | 王栋 | 徐正宣 | 陈国庆 | 张雨露 | 米冠宇 | 蒋良文 | 林之恒,授权
CN211506935U,基于地质雷达法的隧道衬砌缺陷快速识别模型,2020-01-17,2020-09-15,中铁二十五局集团第四工程有限公司 | 中铁二十五局集团第六工程有限公司 | 柳州铁路工程质量检测中心有限公司,许可盛 | 李骞 | 闫德运 | 陈慧 | 王翠姣 | 方全 | 李海波 | 苏小敏 | 刘飞 | 韦刚壮 | 叶小茂 | 陆冠陶,授权
CN111932832A,一种建设工程环境灾害事故监测预警方法,2020-08-07,2020-11-13,西南交通大学,孙永东 | 张锦 | 马辉 | 徐君翔 | 刘卫华 | 黄琰 | 陈豪杰,实质审查
CN113153309A,一种隧道施工方法,2021-03-09,2021-07-23,中铁工程装备集团有限公司,鲁义强 | 李光 | 贺飞 | 宁向可 | 高翔 | 徐文静,授权
CN215672304U,一种用于高地热隧道风渠式通风的降温系统,2021-05-17,2022-01-28,中交第二公路工程局有限公司,王帅帅 | 郭亚斌 | 廖立勋 | 韩昊阳,授权
CN113153309B,一种隧道施工方法,2021-03-09,2022-03-15,中铁工程装备集团有限公司,鲁义强 | 李光 | 贺飞 | 宁向可 | 高翔 | 徐文静,授权
CN111475924B,一种降雨诱发变形的卸荷岩质边坡稳定性分析方法,2020-03-18,2022-05-10,中铁二院工程集团有限责任公司,张广泽 | 王栋 | 徐正宣 | 陈国庆 | 张雨露 | 米冠宇 | 蒋良文 | 林之恒,授权
CN110985081A,热发电自衡温锚杆及其制作方法,2019-12-25,2020-04-10,石家庄铁道大学,张骞 | 高超 | 赵维刚 | 梅晓腾 | 安广斌 | 许芳 | 张子航 | 张泽雨 | 徐景涛,授权
CN110985081B,热发电自衡温锚杆及其制作方法,2019-12-25,2021-05-18,石家庄铁道大学,张骞 | 高超 | 赵维刚 | 梅晓腾 | 安广斌 | 许芳 | 张子航 | 张泽雨 | 徐景涛,授权
CN215633079U,一种用于高地热隧道风仓式通风的降温系统,2021-05-17,2022-01-25,中交第二公路工程局有限公司,王帅帅 | 吴江 | 廖立勋 | 韩昊阳,授权
CN209212248U,适用于隧道衬砌的可拉伸和压缩的弹簧组构件,2018-11-21,2019-08-06,中铁十一局集团第五工程有限公司 | 中铁十一局集团有限公司,郑典明 | 陈光 | 牙韩东 | 邓荣贵 | 杨敬 | 贺培霖 | 王杨波,授权
CN112700622A,一种基于storm的铁路地质灾害监测大数据预处理方法及系统,2020-12-21,2021-04-23,中铁二院工程集团有限责任公司,王 | 陆鑫 | 袁焦 | 伏坤 | 金劭南 | 杨科 | 刘勇 | 潘兆马 | 邹文露 | 余博 | 杨俊超 | 杨学锋 | 徐鑫 | 杨森 | 姚书琴 | 裴起帆,实质审查
CN210003297U,一种适用于高海拔大温差地区的抗冻型隧道衬砌结构,2019-04-29,2020-01-31,中交二公局第四工程有限公司,赵阳 | 黄辉 | 段德峰 | 刘光军 | 何锐 | 白永厚 | 高景明 | 程伟峰 | 周广翔 | 宋亚明,授权
CN111337025A,适用于长距离水平取芯钻机的定位定向仪孔内定位方法,2020-04-28,2020-06-26,中国人民解放军国防科技大学,王林 | 张永健 | 高春峰 | 罗晖 | 袁保伦 | 魏国 | 李耿 | 樊振方 | 熊振宇 | 周盟孟,授权
CN111501795A,一种用于高陡边坡加固防护的锚网装置及其施工方法,2020-04-29,2020-08-07,中铁二院工程集团有限责任公司,陈伟志 | 孙晓 | 李安洪 | 刘勇 | 龚建辉,授权
CN112131639A,一种高速列车过高地温隧道的数值仿真方法,2020-09-11,2020-12-25,中南大学,王田天 | 钱博森 | 王军彦 | 张雷 | 伍钒 | 杨明智 | 周丹,实质审查
CN111337025B,适用于长距离水平取芯钻机的定位定向仪孔内定位方法,2020-04-28,2021-02-26,中国人民解放军国防科技大学,王林 | 张永健 | 高春峰 | 罗晖 | 袁保伦 | 魏国 | 李耿 | 樊振方 | 熊振宇 | 周盟孟,授权
CN111501795B,一种用于高陡边坡加固防护的锚网装置及其施工方法,2020-04-29,2021-10-08,中铁二院工程集团有限责任公司,陈伟志 | 孙晓 | 李安洪 | 刘勇 | 龚建辉,授权
CN114445578A,一种基于Beacon的柔性防护报警和灾情快速评估方法及系统,2022-04-11,2022-05-06,西南交通大学,骆丽茹 | 余志祥 | 张丽君 | 廖林绪 | 金云涛 | 田永丁 | 程强,公开
CN109989780A,一种高原隧道通风加压装置,2019-05-07,2019-07-09,中铁工程装备集团有限公司,张凯 | 李建斌 | 王杜娟 | 李光,实质审查 | 一案双申
CN209818097U,高原隧道通风加压装置,2019-05-07,2019-12-20,中铁工程装备集团有限公司,张凯 | 李建斌 | 王杜娟 | 李光,授权 | 一案双申
CN113030133A,一种用于冰碛土CT扫描的恒温控制装置,2021-02-19,2021-06-25,中国地质大学(武汉),姜茜慧 | 李长冬 | 周佳庆 | 张华伟 | 王妍 | 朱寅斌,实质审查
CN109736185A,一种新型防落梁阻尼器及含有它的阻尼系统,2019-03-12,2019-05-10,防灾科技学院 | 北京赛福思创减震科技股份公司,郭迅,实质审查 | 一案双申
CN209722700U,一种新型防落梁阻尼器及含有它的阻尼系统,2019-03-12,2019-12-03,防灾科技学院 | 北京赛福思创减震科技股份公司,郭迅 | 何雄科,授权 | 一案双申
CN111456758A,一种应对岩爆的双护盾TBM管背支护方法,2020-06-03,2020-07-28,中国水利水电第十工程局有限公司,宗敦峰 | 陈茂 | 韦猛 | 杨洋 | 宋宇 | 徐应中 | 苏小明 | 程锦中,授权
CN111775782A,一种电气化铁路牵引应急保障供电系统及控制方法,2020-07-22,2020-10-16,西南交通大学,戴朝华 | 邓文丽,实质审查
CN111456758B,一种应对岩爆的双护盾TBM管背支护方法,2020-06-03,2021-05-14,中国水利水电第十工程局有限公司,宗敦峰 | 陈茂 | 韦猛 | 杨洋 | 宋宇 | 徐应中 | 苏小明 | 程锦中,授权
CN113325448A,顾及对流层延迟改造的大高差CORS网解算方法,2021-04-21,2021-08-31,中铁第一勘察设计院集团有限公司,武瑞宏 | 许双安 | 冯威 | 周东卫 | 王建红 | 龚江峰 | 田社权 | 汤伟尧 | 袁永信,实质审查
CN215164842U,一种危岩落石的分导式桩板墙,2021-05-18,2021-12-14,中建二局土木工程集团有限公司,柏吉龙 | 杨德 | 李金会 | 丁学正 | 廖满平 | 刘荣斌,授权
CN113962003A,一种隧道围岩大变形评估方法,2021-10-25,2022-01-21,中铁二院工程集团有限责任公司,宋章 | 周航 | 王朋 | 邹远华 | 张雨露 | 张广泽 | 陈仕阔 | 赵晓彦 | 王科 | 李东 | 徐正宣 | 常兴旺 | 冯涛 | 王彦东 | 陈建发 | 龙清亮 | 沈维 | 袁传保 | 于振涛 | 谢荣强 | 陈建钢,实质审查
CN109407720A,季节性冻土区铁路隧道冻融圈控制系统与方法,2018-12-12,2019-03-01,山东大学 | 中铁十八局集团有限公司,薛翊国 | 陈清 | 候守江 | 张学亮 | 潘建平 | 李广坤 | 柏成浩 | 宁泽旭,授权
CN109632487A,一种室内岩石在载荷作用下内部应变场的定性测试方法,2019-01-14,2019-04-16,东北大学,张凤鹏 | 侯奎奎 | 纪优 | 邱兆国 | 彭建宇 | 闫广亮,实质审查
CN110273341A,一种季节性冻土地区制热路基结构及其施工方法,2019-07-19,2019-09-24,西南交通大学,黄俊杰 | 常勇夫 | 杨晨 | 祝伟杰 | 苏谦 | 刘凯文 | 陈德 | 黄志超 | 刘亭,驳回
CN111254904A,一种铁路多年冻土区路基形变检测与预测系统,2020-01-30,2020-06-09,华东交通大学,胡军 | 贾军昊 | 王强 | 郭成成 | 施斌缘,授权
CN211815483U,活动断裂带有砟轨道铁路桥梁结构,2020-03-12,2020-10-30,中铁二院工程集团有限责任公司,姚裕春 | 张耀 | 程云 | 刘洋 | 高继涛,授权
CN111894649A,一种高地温地质隧道基于台车的降温系统及应用方法,2020-09-09,2020-11-06,河北工业大学,张一鸣 | 高慧 | 杨雪晴 | 高之然,实质审查
CN111983193A,一种高地温围岩隧道结构模拟试验装置,2020-08-26,2020-11-24,西南交通大学,晏启祥 | 孙明辉 | 何川 | 李国良,实质审查
CN112226697A,耐擦伤的钢轨及其生产方法,2020-10-19,2021-01-15,攀钢集团攀枝花钢铁研究院有限公司,袁俊 | 邹明 | 邓勇 | 陈崇木,授权
CN112428888A,一种电气化铁路应急牵引供电方法,2020-12-08,2021-03-02,西南交通大学,高仕斌 | 胡海涛 | 黄毅 | 陈俊宇 | 葛银波 | 王科 | 何正友,授权
CN111254904B,一种铁路多年冻土区路基形变检测与预测系统,2020-01-30,2021-05-18,华东交通大学,胡军 | 贾军昊 | 王强 | 郭成成 | 施斌缘,授权
CN109407720B,季节性冻土区铁路隧道冻融圈控制系统与方法,2018-12-12,2021-06-01,山东大学 | 中铁十八局集团有限公司,薛翊国 | 陈清 | 侯守江 | 张学亮 | 潘建平 | 李广坤 | 柏成浩 | 宁泽旭,授权
CN112983450A,隧道岩爆控制型TBM系统及方法,2021-05-11,2021-06-18,北京中矿创新联盟能源环境科学研究院,何满潮 | 王琦 | 高红科 | 江贝 | 刘冬桥 | 杨晓杰 | 吴文瑞 | 许硕,授权
CN113417679A,用于纤维增强树脂复合材料杆体的锚固装置及锚固方法,2021-05-31,2021-09-21,哈尔滨工业大学,咸贵军 | 郭瑞 | 齐肖 | 田经纬,实质审查
CN112983450B,隧道岩爆控制型TBM系统及方法,2021-05-11,2021-10-15,北京中矿创新联盟能源环境科学研究院,何满潮 | 王琦 | 高红科 | 江贝 | 刘冬桥 | 杨晓杰 | 吴文瑞 | 许硕,授权
CN112428888B,一种电气化铁路应急牵引供电方法,2020-12-08,2021-12-17,西南交通大学,高仕斌 | 胡海涛 | 黄毅 | 陈俊宇 | 葛银波 | 王科 | 何正友,授权
CN112226697B,耐擦伤的钢轨及其生产方法,2020-10-19,2022-03-22,攀钢集团攀枝花钢铁研究院有限公司,袁俊 | 邹明 | 邓勇 | 陈崇木,授权
CN114436603A,一种新型隔热材料及其在高地热隧道中的应用,2020-10-30,2022-05-06,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国国家铁路集团有限公司 | 北京铁锋建筑工程技术有限公司,李享涛 | 谢永江 | 程冠之 | 董全霄 | 仲新华 | 王家赫 | 渠亚男 | 谭盐宾 | 朱长华 | 冯仲伟 | 苏婉玉 | 裘智辉 | 孔庆欣 | 李连吉 | 袁政成 | 王伟唯,公开
CN205223767U,松散沙层斜坡地基路堤结构,2015-12-17,2016-05-11,中铁二院工程集团有限责任公司,姚裕春 | 李安洪 | 魏永幸 | 刘洋 | 龚建辉 | 葛学军 | 袁碧玉,授权
CN210323437U,一种用于高寒高海拔复杂山区雨量监测装置,2019-09-29,2020-04-14,西南交通大学,周航 | 陈仕阔,授权
CN210571128U,快速测定软岩地层地应力的测量装置,2019-09-18,2020-05-19,长江水利委员会长江科学院,韩晓玉 | 付平 | 邬爱清 | 丁秀丽 | 周春华 | 艾凯 | 刘元坤 | 尹健民 | 朱杰兵 | 蒋昱州 | 张新辉 | 卢波 | 黄书岭 | 周朝,授权
CN111561340A,高效率的隧道降温车,2020-05-26,2020-08-21,中国铁建投资集团有限公司,林福地 | 黄君,实质审查
CN112228132A,一种穿断层隧道的柔性隔离结构及岩体大变形控制方法,2020-09-17,2021-01-15,中国矿业大学(北京),陶志刚 | 何满潮 | 郭爱鹏 | 王振雨 | 邓飞,实质审查
CN212837844U,水下靶点封堵铁路隧道深竖井突涌水结构,2020-07-26,2021-03-30,中铁二院工程集团有限责任公司,朱廷宇 | 杨昌宇 | 王唤龙 | 邸成 | 范圣明 | 朱勇 | 宋智来 | 刘黎 | 范磊 | 王贵虎 | 李昕晖 | 刘建兵 | 曾劲 | 曾云川 | 桂林岗 | 徐军 | 黄智 | 胡金星,授权
CN112964621A,一种用于工业CT扫描的岩土体温度-渗流耦合装置,2021-02-19,2021-06-15,中国地质大学(武汉),姜茜慧 | 李长冬 | 周佳庆 | 王睿 | 刘洪斌 | 朱文宇,实质审查
CN113482663A,双隔双控隧道结构及工程岩体大变形灾害防控方法,2021-08-05,2021-10-08,何满潮,何满潮,实质审查
CN113492732A,一种AT牵引网分布式发电供电系统及控制方法,2021-09-08,2021-10-12,西南交通大学,李群湛 | 黄小红 | 马庆安 | 解绍锋 | 吴波,授权
CN113492732B,一种AT牵引网分布式发电供电系统及控制方法,2021-09-08,2021-11-30,西南交通大学,李群湛 | 黄小红 | 马庆安 | 解绍锋 | 吴波,授权
CN215164184U,一种重型组合固土结构,2021-05-28,2021-12-14,中建二局土木工程集团有限公司,刘驷达 | 徐新 | 冯钿 | 李金会 | 刘荣斌 | 常明华 | 谢建立,授权
CN114295788A,一种模拟隧道围岩有害气体超前封堵试验的装置及方法,2021-12-30,2022-04-08,重庆大学,刘新荣 | 王? | 周小涵 | 李林鹏 | 王群力 | 张吉禄 | 钟祖良,实质审查
CN114395947A,一种跨活动断裂可调节轨道装置,2022-03-21,2022-04-26,中国科学院地质与地球物理研究所,郭松峰 | 祁生文 | 何满潮 | 周辉 | 邹宇 | 李志清 | 李丽慧 | 郑博文 | 李金轩 | 罗光明 | 唐凤娇 | 温蔚銮,公开
CN114411767A,一种松散变形边坡加固结构的施工方法,2021-11-30,2022-04-29,中铁二院工程集团有限责任公司,姚裕春 | 程云 | 周和祥 | 吴沛沛 | 赵青海 | 葛学军 | 胡会星 | 张耀 | 宋成建 | 封志军,公开
CN105865108A,一种厘米级方形冰块制取装置及其制冰方法和应用,2016-06-16,2016-08-17,中国科学院水利部成都山地灾害与环境研究所,苏志满 | 杨情情 | 苏立君,授权
CN206948778U,利用气压补偿技术的通信设备,2017-06-20,2018-01-30,成都旭思特科技有限公司,张小川 | 罗志刚 | 王东,授权
CN105865108B,一种厘米级方形冰块制取装置及其制冰方法和应用,2016-06-16,2018-09-25,中国科学院水利部成都山地灾害与环境研究所,苏志满 | 杨情情 | 苏立君,授权
CN108693200A,一种无损追踪水泥净浆受硫酸盐侵蚀破坏的定量表征方法,2018-04-09,2018-10-23,东南大学,张云升 | 杨永敢 | 刘乃东,驳回
CN110067588A,基于相变蓄冷的隧道冷风系统,2019-04-08,2019-07-30,东南大学,张国柱 | 姜国栋 | 刘松玉 | 王维 | 陈家威,授权
CN110134753A,一种基于GIS框架的深埋超长隧道岩爆风险评估方法,2019-05-21,2019-08-16,中国科学院武汉岩土力学研究所,邱士利 | 李邵军 | 匡智浩 | 王钱款 | 王金鑫,授权
CN210766808U,一种高位滑坡综合防护体系,2019-05-09,2020-06-16,中铁二院工程集团有限责任公司,魏永幸 | 叶世斌 | 李井元 | 姚昊宇,授权
CN111301455A,一种高原铁路客车车体,2020-03-03,2020-06-19,青岛四方庞巴迪铁路运输设备有限公司,武建军 | 张伟 | 王磊 | 王开团 | 姜靓,实质审查 | 一案双申
CN111550267A,隧道初期支护结构及施工方法,2020-05-26,2020-08-18,中山大学 | 浩吉铁路股份有限公司,皮圣 | 梁禹 | 黄林冲,授权
CN111648806A,一种伞状结构吸能锚杆装置,2020-07-09,2020-09-11,中国科学院地质与地球物理研究所,郭松峰 | 祁生文 | 张世殊 | 马行东 | 袁国庆 | 王修华 | 郑博文 | 邹宇 | 黄晓林 | 梁宁 | 李航 | 刘宇博 | 贺建先 | 姚祥龙 | 台大平 | 罗光明,授权
CN211765533U,一种高原铁路客车车体,2020-03-03,2020-10-27,青岛四方庞巴迪铁路运输设备有限公司,武建军 | 张伟 | 王磊 | 王开团 | 姜靓,授权 | 一案双申
CN211898466U,一种大型深层滑坡防治结构,2020-03-24,2020-11-10,中铁二院工程集团有限责任公司,张东卿 | 周文洋 | 何婧 | 冯子亮 | 曾锐 | 李睿 | 张硕 | 张涛 | 姜瑞雪 | 牟迪 | 肖杭,授权
CN111975245A,免涂装耐候钢桥用抗拉强度650MPa级埋弧自动焊焊丝及盘条,2020-09-02,2020-11-24,燕山大学,王青峰 | 胡兵 | 赵丽洋 | 李方敏 | 杨志瀚 | 何江里,授权
CN112064652A,护坡单体、生态护坡及其装配方法,2020-09-10,2020-12-11,石家庄铁道大学,张骞 | 张子航 | 赵维刚 | 徐景涛 | 张泽雨 | 许芳,授权
CN112129619A,深部软岩质量评价方法及系统,2020-09-10,2020-12-25,武汉大学,王中伟 | 刘泉声,授权
CN110067588B,基于相变蓄冷的隧道冷风系统,2019-04-08,2021-01-12,东南大学,张国柱 | 姜国栋 | 刘松玉 | 王维 | 陈家威,授权
CN110134753B,一种基于GIS框架的深埋超长隧道岩爆风险评估方法,2019-05-21,2021-04-23,中国科学院武汉岩土力学研究所,邱士利 | 李邵军 | 匡智浩 | 王钱款 | 王金鑫,授权
CN111550267B,隧道初期支护结构及施工方法,2020-05-26,2021-04-30,中山大学 | 浩吉铁路股份有限公司,皮圣 | 梁禹 | 黄林冲,授权
CN111648806B,一种伞状结构吸能锚杆装置,2020-07-09,2021-05-14,中国科学院地质与地球物理研究所,郭松峰 | 祁生文 | 张世殊 | 马行东 | 袁国庆 | 王修华 | 郑博文 | 邹宇 | 黄晓林 | 梁宁 | 李航 | 刘宇博 | 贺建先 | 姚祥龙 | 台大平 | 罗光明,授权
CN111975245B,免涂装耐候钢桥用抗拉强度650MPa级埋弧自动焊焊丝及盘条,2020-09-02,2021-07-27,燕山大学,王青峰 | 胡兵 | 赵丽洋 | 李方敏 | 杨志瀚 | 何江里,授权
CN213916732U,一种细化焊缝晶粒的焊轨机,2020-10-26,2021-08-10,成都西点自动化设备有限公司,谭克顺 | 谭克利 | 谭克胜 | 段利华,授权
CN112129619B,深部软岩质量评价方法及系统,2020-09-10,2021-08-17,武汉大学,王中伟 | 刘泉声,授权
CN113933481A,一种冻融条件下岩石裂隙实时监测系统及方法,2021-10-14,2022-01-14,重庆大学 | 中国科学院武汉岩土力学研究所,张君岳 | 刘桓兑 | 李银平 | 王贵宾 | 马洪岭,实质审查
CN215669105U,一种深层滑坡防治结构,2021-09-02,2022-01-28,襄阳地质基础工程有限责任公司,姚志龙 | 陈刚华,授权
CN114244088A,一种内电双源牵引变流器主电路,2021-12-30,2022-03-25,中车永济电机有限公司,陈宏 | 马瑞 | 王雷 | 杨会敏 | 苑伟华 | 陈彦肖 | 王晓妮,实质审查
CN112064652B,护坡单体、生态护坡及其装配方法,2020-09-10,2022-04-22,石家庄铁道大学,张骞 | 张子航 | 赵维刚 | 徐景涛 | 张泽雨 | 许芳,授权
CN114396071A,一种挡土组件及其连接植筋锚固方法,2022-01-14,2022-04-26,中铁二院工程集团有限责任公司,陈伟志 | 叶世斌 | 王鸿 | 张建文 | 李安洪 | 吴沛沛 | 刘勇 | 蒋关鲁 | 庞应刚 | 郭在旭,公开
CN205224057U,冰水堆积物路堑边坡加固防护结构,2015-11-13,2016-05-11,中铁二院工程集团有限责任公司,姚裕春 | 吴沛沛 | 袁报,避重授权 | 一案双申
CN105297748A,冰水堆积物路堑边坡加固防护结构,2015-11-13,2016-02-03,中铁二院工程集团有限责任公司,姚裕春 | 吴沛沛 | 袁报 | 魏永幸 | 袁碧玉,授权 | 一案双申
CN108385697A,一种植物砖及铁路路基边坡绿化方法,2018-01-31,2018-08-10,四川铁创科技有限公司,周璐 | 龚建辉 | 李宁 | 刘名君 | 曾永红 | 吴沛沛 | 叶世斌 | 周成 | 李楚根 | 王开云 | 葛学军 | 孙晓 | 陈伟志 | 胡杰,驳回
CN105297748B,冰水堆积物路堑边坡加固防护结构,2015-11-13,2018-11-23,中铁二院工程集团有限责任公司,姚裕春 | 吴沛沛 | 袁报 | 魏永幸 | 袁碧玉,授权 | 一案双申
CN110542568A,轨道涡流制动性能试验装置及其试验方法,2019-09-20,2019-12-06,西南交通大学,马光同 | 李婧 | 宋旭亮 | 王一宇 | 赵正伟 | 徐帅,实质审查
CN111044256A,一种滑坡-堰塞坝-溃坝洪水灾害链演进过程模拟的试验装置及方法,2019-12-26,2020-04-21,大连理工大学,年廷凯 | 吴昊 | 赵维 | 李东阳 | 郑德凤,实质审查
CN210977490U,一种具备大扩挖能力的TBM刀盘,2019-11-22,2020-07-10,中铁工程装备集团有限公司,李建斌 | 张宁川 | 陶磊 | 金雪红 | 王建 | 杨添任,授权
CN111539150A,一种基于强度理论的裂缝扩展路径计算方法,2020-05-09,2020-08-14,大连理工大学,唐世斌 | 孙康 | 唐春安 | 李佳明 | 王嘉戌,实质审查
CN212129174U,一种适应冻胀融沉的边坡防护预制齿合锁扣块组件,2020-03-25,2020-12-11,中交第一公路勘察设计研究院有限公司 | 中铁十一局集团第二工程有限公司,王佐 | 苏卫卫 | 田敏哲 | 邹伟 | 盖卫鹏 | 刘军勇 | 尹利华,授权
CN112713595A,一种基于组合式变换器的贯通供电系统,2021-01-27,2021-04-27,西华大学,夏焰坤,实质审查 | 一案双申
