公开(公告)号,标题,申请日,公开(公告)日,当前申请(专利权)人,发明人,法律状态/事件
CN215108904U,铁路隧道深大竖井地面超深预注浆与工作面多点堵漏构造,2020-07-26,2021-12-10,中铁二院工程集团有限责任公司,王唤龙 | 范圣明 | 杨昌宇 | 朱廷宇 | 邸成 | 宋智来 | 朱勇 | 范磊 | 王贵虎 | 李昕晖 | 曾云川 | 刘黎 | 曾劲 | 刘建兵 | 桂林岗 | 徐军 | 黄智 | 胡金星,授权
CN113807724A,一种基于综合风险评价的弃碴场选址方法,2021-09-24,2021-12-17,上海交通大学 | 中央财经大学,曾赛星 | 李玉龙 | 苏涵 | 潘俊昊 | 陈宏权,实质审查
CN215977306U,一种承台桩结构,2021-05-24,2022-03-08,中建二局土木工程集团有限公司,杨德 | 冯金波 | 李金会 | 丁学正 | 廖满平 | 刘荣斌,授权
CN114186730A,一种冰碛型泥石流暴发频率的预测模型,2021-12-07,2022-03-15,中国地质调查局成都地质调查中心,铁永波 | 卢佳燕 | 李光辉,实质审查
CN109972461A,一种分布式太阳能高原铁路冻土地基加固装置及工作方法,2019-03-14,2019-07-05,江苏工程职业技术学院,林森,授权
CN110645445A,一种无机纳米粉末复合绝热毡及其制备方法,2019-09-20,2020-01-03,铁科创恒新材料科技有限公司 | 江西运腾工程材料有限公司,王姣 | 朱长伟 | 王建,实质审查
CN210221513U,轨道涡流制动性能试验装置,2019-09-20,2020-03-31,西南交通大学,马光同 | 李婧 | 宋旭亮 | 王一宇 | 赵正伟 | 徐帅,授权
CN111103321A,便携式积雪含水率测试仪及其测试方法,2020-01-14,2020-05-05,西南交通大学,巫锡勇 | 文洪 | 廖昕 | 范展宁 | 张清全 | 向世谊 | 边瑞 | 徐正宣 | 王栋 | 王哲威 | 谢荣强,实质审查
CN111262245A,一种计及光伏不确定性的牵引供电系统能量管理优化运行方法,2020-03-07,2020-06-09,西南交通大学,陈民武 | 黄晨 | 解炎山 | 王彦 | 廖人霖 | 李寅轩 | 刘元立 | 陈垠宇 | 肖迪文,授权
CN111322090A,一种用于控制高地应力硬质岩隧道围岩变形的支护方法,2020-02-28,2020-06-23,中铁五局集团第一工程有限责任公司 | 中南大学 | 中铁二院工程集团有限责任公司,彭学军 | 王荣波 | 朱胥仁 | 方星桦 | 汤宇 | 杨曾 | 杨文国 | 杨俊峰 | 李一萍 | 李林毅 | 钟东 | 彭雨杨 | 阳军生 | 谭鹰 | 童昌 | 何林云 | 谢志勇,授权
CN111335342A,一种高位滑坡防治结构及施工方法,2020-04-13,2020-06-26,中铁二院工程集团有限责任公司,薛元 | 张东卿 | 王智猛 | 周波 | 张建文 | 刘菀茹 | 蒋恒 | 付正道 | 李睿 | 肖杭,实质审查
CN111335338A,适应冻胀融沉的边坡防护预制齿合锁扣块组件及拼装方法,2020-03-25,2020-06-26,中交第一公路勘察设计研究院有限公司 | 中铁十一局集团第二工程有限公司,王佐 | 苏卫卫 | 田敏哲 | 邹伟 | 盖卫鹏 | 刘军勇 | 尹利华,实质审查
CN109972461B,一种分布式太阳能高原铁路冻土地基加固装置及工作方法,2019-03-14,2020-08-11,江苏工程职业技术学院,林森,授权
CN111561342A,一种便于热空气采集的隧道降温车,2020-05-30,2020-08-21,中国铁建投资集团有限公司,林福地 | 黄君,授权
CN111576117A,一种穿越活动断层的路基结构及其施工方法,2020-05-13,2020-08-25,中铁二院工程集团有限责任公司,张东卿 | 薛元 | 刘菀茹 | 李安洪 | 王智猛 | 周波 | 张建文 | 沈均 | 周文洋 | 付正道 | 李睿 | 肖杭,授权
CN111963196A,一种用于高地温隧道的风冷式衬砌散热系统,2020-08-28,2020-11-20,西南交通大学,晏启祥 | 李彬嘉 | 吴悦 | 何川 | 李国良,授权
CN112629349A,一种集成管道、隧道岩爆防治装置及其防治方法,2020-12-14,2021-04-09,东北大学,刘造保 | 王厚宇 | 王小凯 | 姚志宾 | 冯涛 | 王栋,授权
CN112765378A,基于图像匹配的电子地图数据结构的构建方法及其系统,2021-04-08,2021-05-07,北京全路通信信号研究设计院集团有限公司,贾云光 | 崔俊锋 | 石晶 | 姚文华 | 王冠 | 杨明春 | 陈立华 | 杨明 | 曲博,授权
CN112765378B,基于图像匹配的电子地图数据结构的构建方法及其系统,2021-04-08,2021-07-06,北京全路通信信号研究设计院集团有限公司,贾云光 | 崔俊锋 | 石晶 | 姚文华 | 王冠 | 杨明春 | 陈立华 | 杨明 | 曲博,授权
CN113268867A,一种基于水热组合的冰川泥石流区域预警方法,2021-05-17,2021-08-17,中国科学院、水利部成都山地灾害与环境研究所,刘双 | 胡凯衡 | 王璋 | 张晓鹏,实质审查
CN113380125A,一种用于模拟地质断层错动的装置,2021-05-07,2021-09-10,中铁二院工程集团有限责任公司,杨长卫 | 谭信荣 | 吴玉芬 | 杨捷 | 高柏松 | 傅丽林,实质审查
CN112629349B,一种集成管道、隧道岩爆防治装置及其防治方法,2020-12-14,2021-10-01,东北大学,刘造保 | 王厚宇 | 王小凯 | 姚志宾 | 冯涛 | 王栋,授权
CN111963196B,一种用于高地温隧道的风冷式衬砌散热系统,2020-08-28,2021-10-08,西南交通大学,晏启祥 | 李彬嘉 | 吴悦 | 何川 | 李国良,授权
CN113523507A,一种桥梁用Q500qENH与Q690qENH复合焊接方法,2021-06-15,2021-10-22,江苏中铁山桥重工有限公司,徐向军 | 刘洪武 | 贝玉成 | 王建国 | 范军旗 | 陈方能 | 刘万里 | 王杰 | 赵飞 | 吴天峰 | 何涛 | 曲岩,实质审查
CN111322090B,一种用于控制高地应力硬质岩隧道围岩变形的支护方法,2020-02-28,2021-12-03,中铁五局集团第一工程有限责任公司 | 中南大学 | 中铁二院工程集团有限责任公司,彭学军 | 王荣波 | 朱胥仁 | 方星桦 | 汤宇 | 杨曾 | 杨文国 | 杨俊峰 | 李一萍 | 李林毅 | 钟东 | 彭雨杨 | 阳军生 | 谭鹰 | 童昌 | 何林云 | 谢志勇,授权
CN111561342B,一种便于热空气采集的隧道降温车,2020-05-30,2022-02-11,中国铁建投资集团有限公司,林福地 | 黄君,授权
CN111576117B,一种穿越活动断层的路基结构及其施工方法,2020-05-13,2022-03-01,中铁二院工程集团有限责任公司,张东卿 | 薛元 | 刘菀茹 | 李安洪 | 王智猛 | 周波 | 张建文 | 沈均 | 周文洋 | 付正道 | 李睿 | 肖杭,授权
CN111262245B,一种计及光伏不确定性的牵引供电系统能量管理优化运行方法,2020-03-07,2022-04-29,西南交通大学,陈民武 | 黄晨 | 解炎山 | 王彦 | 廖人霖 | 李寅轩 | 刘元立 | 陈垠宇 | 肖迪文,授权
CN208251787U,便携式转向板,2018-05-09,2018-12-18,国网西藏电力建设有限公司,确巴 | 彭旺 | 普琼 | 刘兰青 | 次仁 | 占都 | 王建,未缴年费
CN109448536A,一种通风型寒区隧道纵向温度分布实验装置,2018-10-18,2019-03-08,中铁西南科学研究院有限公司,郑波 | 吴剑 | 王刚 | 刘志强 | 刘玉勇 | 郭瑞 | 杜俊 | 史宪明 | 师亚龙,实质审查 | 一案双申
CN109763844A,隧道伸缩式保温隔热结构及隧道保温方法,2019-01-07,2019-05-17,东南大学,张国柱 | 张书棋 | 郭易木 | 陈家威 | 姜国栋 | 王维,授权
CN208921876U,双线隧道微震监测系统,2018-06-20,2019-05-31,成都理工大学,马春驰 | 李天斌 | 张航 | 韩r萱 | 周雄华 | 高美奔,授权
CN110135097A,一种确定铁路隧道坡度折减系数的方法,2019-05-23,2019-08-16,西南交通大学,凌亮 | 王开云 | 翟婉明 | 胡彦霖 | 杨泽钰,实质审查
CN209343642U,一种通风型寒区隧道纵向温度分布实验装置,2018-10-18,2019-09-03,中铁西南科学研究院有限公司,郑波 | 吴剑 | 王刚 | 刘志强 | 刘玉勇 | 郭瑞 | 杜俊 | 史宪明 | 师亚龙,授权 | 一案双申
CN110359450A,装配式圆形桩结构及构筑方法,2019-07-29,2019-10-22,中铁二院工程集团有限责任公司,杨泉 | 徐骏 | 高柏松 | 郭海强 | 王占盛 | 李炼 | 陶奇 | 庞林,实质审查
CN110514342A,快速测定软岩地层地应力的测量装置及方法,2019-09-18,2019-11-29,长江水利委员会长江科学院,韩晓玉 | 付平 | 邬爱清 | 丁秀丽 | 周春华 | 艾凯 | 刘元坤 | 尹健民 | 朱杰兵 | 蒋昱州 | 张新辉 | 卢波 | 黄书岭 | 周朝,实质审查
CN109763844B,隧道伸缩式保温隔热结构及隧道保温方法,2019-01-07,2020-10-09,东南大学,张国柱 | 张书棋 | 郭易木 | 陈家威 | 姜国栋 | 王维,授权
CN212177175U,一种山岭隧道的隔震保温防水结构,2020-04-25,2020-12-18,中山大学 | 中交第一公路勘察设计研究院有限公司,王复明 | 汪双杰 | 郭成超 | 孙博 | 马雪 | 韩常领 | 董长松,授权
CN112256050A,一种无人机电磁探测路径规划方法,2020-09-01,2021-01-22,深圳市广域鹏翔研究开发有限公司,蒋奇云 | 凌帆 | 王泽深,实质审查
CN213181325U,一种土体冻融试验中杆状传感器的固定装置,2020-09-07,2021-05-11,中国科学院西北生态环境资源研究院,黄永庭 | 穆彦虎 | 何鹏飞 | 栗晓林 | 刘富荣 | 马巍,授权
CN112796307A,一种旋挖钻机方桩工法,2021-01-04,2021-05-14,成都欣皓地基基础工程有限责任公司,郑杰 | 郑彪,实质审查
CN113310716A,断层错动对隧洞运行影响真三维物理模拟系统及试验方法,2021-05-19,2021-08-27,山东大学,张强勇 | 张瑞新 | 陈卫忠 | 程磊 | 张振杰 | 王鹏飞 | 向文 | 林韩祥 | 范清涵 | 刘磊,实质审查
CN113373750A,一种陡坡高填土段路基结构及其施工方法,2021-06-30,2021-09-10,中铁二院工程集团有限责任公司,钟亚伟 | 戴胜勇 | 陈克坚 | 陈建峰 | 窦亚超 | 张誉瀚 | 任彬 | 胡会星 | 袁蔚 | 李恒 | 胡丹,实质审查
CN215292549U,一种适用于软岩大变形及高应力地质隧道的吸能锚杆,2021-05-08,2021-12-24,中铁二十五局集团第四工程有限公司 | 中铁二十五局集团第六工程有限公司,李飞 | 孙景超 | 毛盛泰 | 魏磊 | 张恩桥 | 来荣国 | 苏小敏 | 兰天仕 | 唐新华 | 刘飞 | 刘伟 | 王奎胜 | 宋战平 | 张玉伟 | 刘郁冬 | 吴政良 | 蒋若愚 | 付树奎 | 石拓 | 李先健 | 何文庆,授权
CN113859379A,一种履带式行走装置,2021-10-25,2021-12-31,广西岩土钻凿工程科技有限公司 | 桂林航天工业学院,刘忠 | 李源周 | 韦志星 | 黄建成 | 吕勇 | 李慧娴 | 张勇 | 熊中刚,实质审查 | 一案双申
CN113979710A,一种适用于高寒地区的抗腐蚀混凝土及其制备方法,2021-12-10,2022-01-28,黑龙江省公路建设中心 | 交通运输部公路科学研究所,张亮 | 肖阳 | 张宿峰 | 任少辉 | 李鹏飞 | 田波 | 李立辉,实质审查
CN215718951U,高寒地区隧道大型重力辅助环路热管防冻系统,2021-04-19,2022-02-01,西南交通大学,袁艳平 | 钟巍 | 周锦志 | 张楠 | 张雨婷 | 闵皖东,授权
CN216102473U,一种履带式行走装置,2021-10-25,2022-03-22,广西岩土钻凿工程科技有限公司 | 桂林航天工业学院,刘忠 | 李源周 | 韦志星 | 黄建成 | 吕勇 | 李慧娴 | 张勇 | 熊中刚,授权 | 一案双申
CN216157693U,一种中空注浆智能锚杆,2021-08-23,2022-04-01,固远晨通科技发展有限公司,苏谦 | 董敏琪,授权
CN206204764U,一种高速铁路桥上有砟道床防流化轻型结构,2016-11-09,2017-05-31,北京交通大学,井国庆 | 强伟乐 | 李红英 | 付豪 | 肖宏,授权
CN109443809A,涉及列车活塞风因素的寒区隧道纵向温度实验装置,2018-10-18,2019-03-08,中铁西南科学研究院有限公司,郑波 | 吴剑 | 刘志强 | 王刚 | 郭瑞 | 史宪明 | 刘玉勇 | 杜俊 | 师亚龙,实质审查 | 一案双申
CN109914441A,大能力阻滑体系及构筑方法,2019-03-14,2019-06-21,中铁二院工程集团有限责任公司,杨泉 | 徐骏 | 郭海强 | 李安洪 | 魏永幸 | 高柏松 | 王占盛 | 李炼 | 肖飞知,实质审查
CN209085961U,涉及列车活塞风因素的寒区隧道纵向温度实验装置,2018-10-18,2019-07-09,中铁西南科学研究院有限公司,郑波 | 吴剑 | 刘志强 | 王刚 | 郭瑞 | 史宪明 | 刘玉勇 | 杜俊 | 师亚龙,授权 | 一案双申
CN110031241A,模拟复杂环境下列车弓网及绝缘子运行状态的试验装置,2019-05-16,2019-07-19,西南交通大学,张血琴 | 范超 | 郭裕钧 | 刘凯 | 吴广宁 | 高国强 | 杨泽锋 | 杨雁 | 魏文赋 | 高波,授权
CN209163826U,一种高原高寒地震带隧道保温减震结构,2018-11-13,2019-07-26,中交隧道局第四工程有限公司 | 成都交r工程科技有限公司,孙永清 | 李学智 | 刘明江 | 王渊 | 张国强 | 王春早 | 胡川 | 周平,未缴年费
CN110903559A,一种耐高温老化的橡胶止水带及其制备方法,2019-12-11,2020-03-24,河北科信特种橡塑有限公司,胡建生,实质审查
CN111144761A,一种基于典型地下地质灾害风险评价的铁路选线方法,2019-12-27,2020-05-12,成都理工大学,李天斌 | 马俊杰 | 曾鹏 | 吴君艳,实质审查
CN111144762A,一种基于地面地质灾害风险评估的铁路线路筛选方法,2019-12-27,2020-05-12,成都理工大学,李天斌 | 吴君艳 | 马俊杰 | 曾鹏,实质审查
CN111485938A,防护台车支架,2020-05-14,2020-08-04,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 向大强 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,撤回
CN111561339A,改善降温风栅降温效率的隧道降温车,2020-05-26,2020-08-21,中国铁建投资集团有限公司,林福地 | 黄君,实质审查
CN212001186U,一种高位滑坡防治结构,2020-04-13,2020-11-24,中铁二院工程集团有限责任公司,张东卿 | 刘菀茹 | 张建文 | 蒋恒 | 付正道 | 杨P | 张理 | 张硕 | 张涛 | 王海波,授权
CN110031241B,模拟复杂环境下列车弓网及绝缘子运行状态的试验装置,2019-05-16,2020-12-08,西南交通大学,张血琴 | 范超 | 郭裕钧 | 刘凯 | 吴广宁 | 高国强 | 杨泽锋 | 杨雁 | 魏文赋 | 高波,授权
CN112065432A,一种穿过活动断层破碎带的隧道结构及其施工方法,2020-09-14,2020-12-11,浙江华东工程咨询有限公司 | 中国电建集团华东勘测设计研究院有限公司,张强 | 陈永红 | 单治钢 | 叶武,实质审查
CN212406764U,一种基于大变形隧道环向释压导洞的锚筒结构,2020-07-30,2021-01-26,高速铁路建造技术国家工程实验室 | 中南大学,余志武 | 傅金阳 | 税明东 | 徐光阳 | 王宇,授权
CN112321179A,一种耐候型低热水泥及其制备方法,2020-11-30,2021-02-05,中建材中研益科技有限公司,张坤悦 | 王敏 | 文寨军 | 郭随华 | 黄文 | 王晶 | 高显束 | 刘云 | 王显斌 | 马忠诚 | 孙明明 | 刘奥,授权
CN112485106A,一种控制土体状态参数的物理模型分层制备与试验方法,2020-10-12,2021-03-12,浙江大学,周燕国 | 马强 | 曹渊 | 陈云敏,授权
CN112695794A,一种预制混凝土L形柱杯口基础,2021-01-07,2021-04-23,中铁建设集团有限公司,曹青 | 侯立群 | 张亚齐 | 殷炳帅 | 董磊 | 王宽 | 翟玉新 | 孙玉龙 | 陈月平,实质审查 | 一案双申
CN112780335A,防护台车支架,2021-01-04,2021-05-11,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 向大强 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,实质审查 | 一案双申
CN213180986U,一种高地温围岩隧道结构模拟试验装置,2020-08-26,2021-05-11,西南交通大学,孙明辉 | 王新强 | 晏启祥 | 何川 | 李国良,授权
CN213509776U,一种装配式站台雨棚结构,2021-05-25,2021-06-22,中铁建工集团有限公司,黄学红 | 杨志强 | 王晓东 | 王斌 | 宋宝仓 | 朱向清 | 王东方 | 刘明辉,授权
CN213574191U,一种可移动式隧道通风降温装置,2020-09-10,2021-06-29,中铁环境科技工程有限公司,黄沧 | 王旭伟 | 李青 | 匡文,授权
CN113300395A,一种柔性牵引供电系统混合储能最优容量配置方法,2021-05-26,2021-08-24,成都国佳电气工程有限公司,陈民武 | 梁宗佑 | 陈垠宇 | 赵金玉 | 田忠北 | 崔明建,实质审查
CN214196390U,防护台车支架,2021-01-04,2021-09-14,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 向大强 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,授权 | 一案双申
CN214460578U,一种预制混凝土L形柱杯口基础,2021-01-07,2021-10-22,中铁建设集团有限公司,曹青 | 侯立群 | 张亚齐 | 殷炳帅 | 董磊 | 王宽 | 翟玉新 | 孙玉龙 | 陈月平,授权 | 一案双申
CN112485106B,一种控制土体状态参数的物理模型分层制备与试验方法,2020-10-12,2021-11-19,浙江大学,周燕国 | 马强 | 曹渊 | 陈云敏,授权
CN214940101U,一种抗震消能锚头,2021-05-24,2021-11-30,中建二局土木工程集团有限公司,刘驷达 | 李金会 | 柏吉龙 | 冯钿 | 徐新,授权
CN215053214U,一种消能减震反滤层,2021-05-24,2021-12-07,中建二局土木工程集团有限公司,冯钿 | 黄求明 | 徐新 | 李金会 | 刘荣斌 | 常明华 | 谢建立,授权
CN113947014A,基于BIM的隧道火灾应急救援方法、终端及存储介质,2021-09-15,2022-01-18,江苏中云筑智慧运维研究院有限公司 | 东南大学,高帅 | 杨国玉 | 李寒冰 | 王盼 | 万春风 | 杨才千,实质审查
CN114002070A,一种断层活化诱发岩爆和冲击地压的实验方法及装置,2021-09-26,2022-02-01,中国矿业大学,曹安业 | 王桂峰 | 李庚 | 窦林名 | 巩思园 | 蔡武,实质审查
CN112321179B,一种耐候型低热水泥及其制备方法,2020-11-30,2022-03-04,中建材中研益科技有限公司,张坤悦 | 王敏 | 文寨军 | 郭随华 | 黄文 | 王晶 | 高显束 | 刘云 | 王显斌 | 马忠诚 | 孙明明 | 刘奥,授权
CN109900548A,一种低温冻土三轴仪,2019-03-22,2019-06-18,崔凯 | 西南交通大学,崔凯 | 张继勋 | 秦晓同 | 郭国庆,授权
CN110865020A,高原低温低压环境实验模拟箱,2019-12-12,2020-03-06,中南大学 | 中铁二院工程集团有限责任公司 | 中国铁道科学研究院集团有限公司,曾晓辉 | 林艺鹏 | 刘明君 | 谭盐宾 | 潘自立 | 辜英晗 | 赵万强 | 上官明辉 | 龙广成 | 谢友均 | 马聪 | 马昆林,实质审查 | 一案双申
CN210459194U,装配式圆形桩结构,2019-07-29,2020-05-05,中铁二院工程集团有限责任公司,杨泉 | 徐骏 | 高柏松 | 郭海强 | 王占盛 | 李炼 | 陶奇 | 庞林,授权
CN111353239A,岩石脆性指数计算方法及装置,2020-03-26,2020-06-30,武汉大学,王中伟 | 刘泉声,撤回
CN111576240A,一种装配式盖梁施工安全防护一体化平台,2020-06-04,2020-08-25,安徽省公路桥梁工程有限公司,蒋小敏 | 王生涛 | 何涛 | 杨庆 | 张银 | 叶舟 | 王鑫 | 陈忠义,实质审查 | 一案双申
CN111809556A,冰湖溃决型洪水泥石流防治方法,2020-07-22,2020-10-23,中国科学院、水利部成都山地灾害与环境研究所,陈剑刚 | 陈晓清 | 崔鹏 | 游勇 | 陈华勇 | 栗帅 | 唐金波 | 赵万玉 | 曾璐 | 王喜安,授权
CN211785020U,高原低温低压环境实验模拟箱,2019-12-12,2020-10-27,中南大学 | 中铁二院工程集团有限责任公司 | 中国铁道科学研究院集团有限公司,曾晓辉 | 林艺鹏 | 刘明君 | 谭盐宾 | 潘自立 | 辜英晗 | 赵万强 | 上官明辉 | 龙广成 | 谢友均 | 马聪 | 马昆林,授权 | 一案双申
CN112012746A,厚层富水破碎带条件下铁路隧道深大竖井施工方法,2020-07-26,2020-12-01,中铁二院工程集团有限责任公司,王唤龙 | 范圣明 | 杨昌宇 | 朱廷宇 | 邸成 | 宋智来 | 朱勇 | 范磊 | 王贵虎 | 李昕晖 | 曾云川 | 刘黎 | 曾劲 | 刘建兵 | 桂林岗 | 徐军 | 黄智 | 胡金星,实质审查
CN109900548B,一种低温冻土三轴仪,2019-03-22,2020-12-11,崔凯 | 西南交通大学,崔凯 | 张继勋 | 秦晓同 | 郭国庆,授权
CN212358026U,一种装配式盖梁施工安全防护一体化平台,2020-06-04,2021-01-15,安徽省公路桥梁工程有限公司,蒋小敏 | 王生涛 | 何涛 | 杨庆 | 张银 | 叶舟 | 王鑫 | 陈忠义,授权 | 一案双申
CN112363230A,一种铁路隧道无人机电磁探测方法,2020-09-01,2021-02-12,深圳市广域鹏翔研究开发有限公司,何继善 | 蒋奇云 | 黄敏 | 凌帆 | 王泽深,实质审查
CN112665947A,一种冻融-干湿环境下岩石损伤声学监测装置及方法,2021-01-13,2021-04-16,中国科学院西北生态环境资源研究院,李双洋 | 杨佳乐 | 赵永春 | 赵建沅 | 姜琪,实质审查
CN111809556B,冰湖溃决型洪水泥石流防治方法,2020-07-22,2021-07-13,中国科学院、水利部成都山地灾害与环境研究所,陈剑刚 | 陈晓清 | 崔鹏 | 游勇 | 陈华勇 | 栗帅 | 唐金波 | 赵万玉 | 曾璐 | 王喜安,授权
CN214273649U,一种管棚作业室施工开挖设备及敞开式TBM,2021-01-29,2021-09-24,中铁工程装备集团有限公司,潘守辰 | 王志强 | 张玉香 | 任梓恒 | 宁向可,授权
CN113638759A,一种中空注浆智能锚杆及其安装布设方法,2021-08-23,2021-11-12,固远晨通科技发展有限公司,苏谦 | 董敏琪,实质审查
WO2021128575A1,一种滑坡 - 堰塞坝 - 溃坝洪水灾害链演进过程模拟的试验装置及方法,2020-02-28,2021-07-01,大连理工大学,"""NIAN, TINGKAI | WU, HAO | ZHAO, WEI | LI, DONGYANG | ZHENG, DEFENG""",PCT进入指定国(指定期内)
WO2022095548A1,一种旋挖钻机方桩工法及设备,2021-08-20,2022-05-12,成都欣皓地基基础工程有限责任公司,郑彪 | 郑杰 | 李常伟,-
WO2022016661A1,冰湖溃决型洪水泥石流防治方法,2020-08-28,2022-01-27,中国科学院、水利部成都山地灾害与环境研究所,陈剑刚 | 陈晓清 | 崔鹏 | 游勇 | 陈华勇 | 栗帅 | 唐金波 | 赵万玉 | 曾璐 | 王喜安,PCT国际公布
CN111795739A,微震传感器,2020-07-16,2020-10-20,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,陈炳瑞 | 王旭 | 王睿 | 朱新豪 | 李涛 | 魏凡博 | 王庆,授权
CN111880220A,震源定位方法、装置、设备和存储介质,2020-09-07,2020-11-03,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,李涛 | 陈炳瑞 | 王睿 | 朱新豪 | 王旭 | 王庆,授权
CN112627873A,一种岩爆防治装置以及防治方法,2020-12-15,2021-04-09,西南交通大学 | 中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,罗勋 | 王庆 | 王睿 | 陈炳瑞,授权
CN111795739B,微震传感器,2020-07-16,2021-07-20,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,陈炳瑞 | 王旭 | 王睿 | 朱新豪 | 李涛 | 魏凡博 | 王庆,授权
CN112627873B,一种岩爆防治装置以及防治方法,2020-12-15,2021-11-30,西南交通大学 | 中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,罗勋 | 王庆 | 王睿 | 陈炳瑞,授权
CN215369943U,一种可移动的便携式高海拔隧道供氧装置,2021-06-24,2021-12-31,北京科技大学 | 川藏铁路有限公司,莫晓雨 | 蒋仲安 | 史代宣 | 王祥 | 许强 | 罗勋,授权
CN114004104A,基于棋盘格测试的CORS站点选取方法,2021-11-09,2022-02-01,中铁第一勘察设计院集团有限公司 | 川藏铁路技术创新中心有限公司,周东卫 | 武瑞宏 | 汤伟尧 | 张波 | 张良会 | 张永刚 | 吕菲,实质审查
CN111880220B,震源定位方法、装置、设备和存储介质,2020-09-07,2022-02-22,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,李涛 | 陈炳瑞 | 王睿 | 朱新豪 | 王旭 | 王庆,授权
CN114359876A,一种车辆目标识别方法及存储介质,2022-03-21,2022-04-15,成都奥伦达科技有限公司 | 川藏铁路技术创新中心有限公司,刘健飞 | 束子贤 | 江亮亮 | 余建乐 | 魏新元,公开
CN114399762A,一种道路场景点云分类方法及存储介质,2022-03-23,2022-04-26,成都奥伦达科技有限公司 | 川藏铁路技术创新中心有限公司,刘健飞 | 陈薪宇 | 江亮亮 | 张波 | 魏新元,公开
