CN110210173A,一种冰碛土物理力学参数的快速估算方法,2019-06-20,2019-09-06,中国地质科学院探矿工艺研究所 | 中国科学院、水利部成都山地灾害与环境研究所,杨东旭 | 游勇 | 陈晓清 | 刘建康 | 王军朝 | 杨栋 | 赵万玉 | 孙昊,授权
CN211598691U,岩爆防护台车防护网以及防护台车防护架,2020-01-16,2020-09-29,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,授权 | 一案双申
CN112610256A,一种自钻式让压中空锚杆及锚固方法,2020-12-24,2021-04-06,中铁二院工程集团有限责任公司 | 成都现代万通锚固技术有限公司,李奎 | 陶伟明 | 喻渝 | 胡炜 | 谭信荣 | 龙旭 | 高泊松 | 赵万强 | 郑长青 | 王志强 | 吴航 | 徐骏 | 谭永杰 | 黎旭 | 唐思聪,实质审查
CN112620888A,一种高寒地区Q500qENH耐候钢单面焊双面成型的工艺方法,2020-12-28,2021-04-09,中铁九桥工程有限公司 | 中铁高新工业股份有限公司,郭红艳 | 付建辉 | 陈潜 | 梁辉 | 黄旭光 | 李方敏 | 朱东明 | 王员根 | 李正兵 | 潘云龙 | 徐慰玉 | 高波 | 王磊 | 黄勇 | 刘翔 | 肖辉东 | 王中美,授权
CN111502675B,高地应力软弱破碎围岩大断面隧道交叉口施工的支护方法,2020-04-29,2021-11-26,中国矿业大学(北京) | 甘肃长达路业有限责任公司,陶志刚 | 乔小兵 | 王丰年 | 何满潮 | 米蒙 | 范晋琰 | 罗森林,授权
CN113754386A,一种抗紫外辐射混凝土及其制备方法,2021-10-26,2021-12-07,云南中建西部建设有限公司 | 中建西部建设西南有限公司 | 中建西部建设股份有限公司,兰聪 | 王军 | 张远 | 袁文韬 | 李晓欢 | 唐天明 | 刘东 | 张武宗,实质审查
CN112620888B,一种高寒地区Q500qENH耐候钢单面焊双面成型的工艺方法,2020-12-28,2022-04-19,中铁九桥工程有限公司 | 中铁高新工业股份有限公司,郭红艳 | 付建辉 | 陈潜 | 梁辉 | 黄旭光 | 李方敏 | 朱东明 | 王员根 | 李正兵 | 潘云龙 | 徐慰玉 | 高波 | 王磊 | 黄勇 | 刘翔 | 肖辉东 | 王中美,授权
CN209780913U,一种铁路隧道长效性支护系统,2019-02-13,2019-12-13,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国铁路经济规划研究院有限公司 | 中铁第一勘察设计院集团有限公司 | 中国中铁二院工程集团有限责任公司,韩自力 | 叶阳升 | 马伟斌 | 林传年 | 黄双林 | 刘名君 | 刘国庆 | 谭永杰 | 张松琦 | 付兵先 | 马荣田 | 邹文浩 | 郭小雄 | 李尧 | 王志伟 | 杜晓燕 | 安哲立 | 赵鹏 | 马超锋 | 牛亚彬 | 柴金飞 | 程爱君,授权
CN111561332A,一种山岭隧道隔震防水保温高聚物的施工方法,2020-04-25,2020-08-21,中山大学 | 中交第一公路勘察设计研究院有限公司,王复明 | 汪双杰 | 郭成超 | 孙博 | 马雪 | 韩常领 | 董长松,实质审查
CN113220009A,一种隧道衬砌检测用正压式爬壁机器人及其控制方法,2021-07-08,2021-08-06,中国铁路设计集团有限公司 | 铁三院(天津)检测科技有限公司,曹虎 | 张吉 | 崔庆国 | 李志华 | 任春山 | 隋孝民 | 何明峰 | 王银 | 冯彦谦 | 薄会申 | 刘占峰,授权
CN113220009B,一种隧道衬砌检测用正压式爬壁机器人及其控制方法,2021-07-08,2021-09-21,中国铁路设计集团有限公司 | 铁三院(天津)检测科技有限公司,曹虎 | 张吉 | 崔庆国 | 李志华 | 任春山 | 隋孝民 | 何明峰 | 王银 | 冯彦谦 | 薄会申 | 刘占峰,授权
CN113569389A,在岩体初始地应力场反演中构造边界荷载形式的确定方法,2021-07-07,2021-10-29,西南交通大学 | 叙镇铁路有限责任公司,何川 | 蒙伟 | 严健 | 唐勇 | 孙晋锋 | 唐进才 | 唐俊林 | 廖烟开 | 王皋,实质审查
CN111305353A,适应冻融变形的边坡排水预制仿生构件及施工方法,2020-03-25,2020-06-19,中交第一公路勘察设计研究院有限公司 | 中交二公局第四工程有限公司,王佐 | 苏卫卫 | 黄建忠 | 刘军勇 | 尹利华 | 盖卫鹏 | 沈鹏,实质审查
CN112252161A,一种桥梁结构减震装置,2020-10-27,2021-01-22,中铁桥研科技有限公司 | 中铁大桥局集团有限公司 | 中铁大桥科学研究院有限公司,汪正兴 | 吕江 | 李东超 | 尹琪 | 盛能军 | 刘鹏飞 | 张汉卫 | 陶金峰 | 王泽豪 | 程震 | 谢世达 | 赵海威 | 赵智达,实质审查
CN112620898A,一种高寒地区Q500qENH耐候钢角接接头焊接工艺方法,2020-12-28,2021-04-09,中铁九桥工程有限公司 | 中铁高新工业股份有限公司,李方敏 | 郭红艳 | 陈潜 | 徐慰玉 | 黄勇 | 朱东明 | 王员根 | 高波 | 付建辉 | 潘云龙 | 黄旭光 | 王磊 | 李正兵 | 刘翔 | 肖辉东 | 王中美,实质审查
CN113063814A,一种模拟低温钢轨表面遇暖湿气流冷凝析水的可视化装置,2021-02-18,2021-07-02,华东交通大学 | 西南交通大学,沈明学 | 李圣鑫 | 李含欣 | 肖叶龙 | 何晓荣 | 王文健 | 熊光耀 | 朱旻昊,实质审查
CN213934315U,箱体式直埋光缆接头盒防护箱,2020-09-14,2021-08-10,通号工程局集团有限公司 | 通号工程局集团有限公司天津分公司,韩炳旭 | 刘鹏 | 李梓晨 | 朱爱河 | 张昊 | 李佩珂 | 张国燕,授权
CN214033332U,一种横向粘滞流体阻尼器及桥梁结构,2020-10-27,2021-08-24,中铁桥研科技有限公司 | 中铁大桥局集团有限公司 | 中铁大桥科学研究院有限公司,汪正兴 | 吕江 | 李东超 | 尹琪 | 盛能军 | 刘鹏飞 | 张汉卫 | 陶金峰 | 王泽豪 | 程震 | 谢世达 | 赵海威 | 赵智达,授权
CN208525683U,一种用于高海拔高处作业的供氧系统,2018-05-31,2019-02-22,鲁飞 | 张国强 | 郑超 | 陈海峰 | 朱纯 | 章和高,鲁飞 | 张国强 | 郑超 | 陈海峰 | 朱纯 | 章和高,授权
CN111119986A,防护台车支架,2020-01-16,2020-05-08,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 向大强 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,撤回
CN111828062A,一种基于大变形隧道环向释压导洞的锚筒结构及其施工方法,2020-07-30,2020-10-27,高速铁路建造技术国家工程实验室 | 中南大学,余志武 | 傅金阳 | 税明东 | 徐光阳 | 王宇,实质审查
CN213088013U,一种适于活动断层破碎带的可错动隧道结构,2020-09-14,2021-04-30,浙江华东工程咨询有限公司 | 中国电建集团华东勘测设计研究院有限公司,张强 | 陈永红 | 艾洲洋 | 张毅 | 徐浩,授权
CN111690417A,一种用于高含水率黏土填料的改良剂、路基填筑施工方法,2020-06-12,2020-09-22,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司,陈锋 | 王仲锦 | 曾帅 | 张栋 | 邓逆涛 | 张千里 | 闫宏业,授权
CN111798065A,一种高寒作业环境下的应急物资调配优化方法,2020-07-14,2020-10-20,西南交通大学 | 中铁二局集团有限公司,徐君翔 | 张锦 | 郭静妮 | 刘卫华 | 马辉,实质审查
CN111690417B,一种用于高含水率黏土填料的改良剂、路基填筑施工方法,2020-06-12,2021-05-25,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司,陈锋 | 王仲锦 | 曾帅 | 张栋 | 邓逆涛 | 张千里 | 闫宏业,授权
CN214616608U,一种粘结锚固型先锚式让压中空锚杆,2020-12-24,2021-11-05,中铁二院工程集团有限责任公司 | 成都现代万通锚固技术有限公司,李奎 | 陶伟明 | 喻渝 | 胡炜 | 谭信荣 | 龙旭 | 高泊松 | 赵万强 | 郑长青 | 王志强 | 吴航 | 徐骏 | 谭永杰 | 黎旭 | 唐思聪,授权
CN113860787A,一种适用于高原寒冷地区的双组份无碱速凝剂及使用方法,2021-02-01,2021-12-31,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国铁路总公司 | 北京铁锋建筑工程技术有限公司,王家赫 | 谢永江 | 冯仲伟 | 谭盐宾 | 仲新华 | 李享涛 | 渠亚男,实质审查
CN114148063A,一种复合防水卷材及其制备方法和应用,2021-10-28,2022-03-08,金发科技股份有限公司 | 成都金发科技新材料有限公司,陈锬 | 陈平绪 | 叶南飚 | 刘乐文 | 付晓,实质审查
CN111305258A,装配式抗震抗冻融变形波纹板刚柔型挡土墙,2020-03-25,2020-06-19,中交第一公路勘察设计研究院有限公司 | 中铁十一局集团第二工程有限公司 | 中交二公局第四工程有限公司,苏卫卫 | 田敏哲 | 黄建忠 | 邹伟 | 尹利华 | 刘军勇 | 张发如 | 张超,实质审查 | 一案双申
CN212129216U,一种装配式抗震抗冻融变形波纹板刚柔型挡土墙,2020-03-25,2020-12-11,中交第一公路勘察设计研究院有限公司 | 中铁十一局集团第二工程有限公司 | 中交二公局第四工程有限公司,苏卫卫 | 田敏哲 | 黄建忠 | 邹伟 | 尹利华 | 刘军勇 | 张发如 | 张超,授权 | 一案双申
CN113807724A,一种基于综合风险评价的弃碴场选址方法,2021-09-24,2021-12-17,上海交通大学 | 中央财经大学,曾赛星 | 李玉龙 | 苏涵 | 潘俊昊 | 陈宏权,实质审查
CN110645445A,一种无机纳米粉末复合绝热毡及其制备方法,2019-09-20,2020-01-03,铁科创恒新材料科技有限公司 | 江西运腾工程材料有限公司,王姣 | 朱长伟 | 王建,实质审查
CN111322090A,一种用于控制高地应力硬质岩隧道围岩变形的支护方法,2020-02-28,2020-06-23,中铁五局集团第一工程有限责任公司 | 中南大学 | 中铁二院工程集团有限责任公司,彭学军 | 王荣波 | 朱胥仁 | 方星桦 | 汤宇 | 杨曾 | 杨文国 | 杨俊峰 | 李一萍 | 李林毅 | 钟东 | 彭雨杨 | 阳军生 | 谭鹰 | 童昌 | 何林云 | 谢志勇,授权
CN111335338A,适应冻胀融沉的边坡防护预制齿合锁扣块组件及拼装方法,2020-03-25,2020-06-26,中交第一公路勘察设计研究院有限公司 | 中铁十一局集团第二工程有限公司,王佐 | 苏卫卫 | 田敏哲 | 邹伟 | 盖卫鹏 | 刘军勇 | 尹利华,实质审查
CN111322090B,一种用于控制高地应力硬质岩隧道围岩变形的支护方法,2020-02-28,2021-12-03,中铁五局集团第一工程有限责任公司 | 中南大学 | 中铁二院工程集团有限责任公司,彭学军 | 王荣波 | 朱胥仁 | 方星桦 | 汤宇 | 杨曾 | 杨文国 | 杨俊峰 | 李一萍 | 李林毅 | 钟东 | 彭雨杨 | 阳军生 | 谭鹰 | 童昌 | 何林云 | 谢志勇,授权
CN212177175U,一种山岭隧道的隔震保温防水结构,2020-04-25,2020-12-18,中山大学 | 中交第一公路勘察设计研究院有限公司,王复明 | 汪双杰 | 郭成超 | 孙博 | 马雪 | 韩常领 | 董长松,授权
CN215292549U,一种适用于软岩大变形及高应力地质隧道的吸能锚杆,2021-05-08,2021-12-24,中铁二十五局集团第四工程有限公司 | 中铁二十五局集团第六工程有限公司,李飞 | 孙景超 | 毛盛泰 | 魏磊 | 张恩桥 | 来荣国 | 苏小敏 | 兰天仕 | 唐新华 | 刘飞 | 刘伟 | 王奎胜 | 宋战平 | 张玉伟 | 刘郁冬 | 吴政良 | 蒋若愚 | 付树奎 | 石拓 | 李先健 | 何文庆,授权
CN113859379A,一种履带式行走装置,2021-10-25,2021-12-31,广西岩土钻凿工程科技有限公司 | 桂林航天工业学院,刘忠 | 李源周 | 韦志星 | 黄建成 | 吕勇 | 李慧娴 | 张勇 | 熊中刚,实质审查 | 一案双申
CN113979710A,一种适用于高寒地区的抗腐蚀混凝土及其制备方法,2021-12-10,2022-01-28,黑龙江省公路建设中心 | 交通运输部公路科学研究所,张亮 | 肖阳 | 张宿峰 | 任少辉 | 李鹏飞 | 田波 | 李立辉,实质审查
CN216102473U,一种履带式行走装置,2021-10-25,2022-03-22,广西岩土钻凿工程科技有限公司 | 桂林航天工业学院,刘忠 | 李源周 | 韦志星 | 黄建成 | 吕勇 | 李慧娴 | 张勇 | 熊中刚,授权 | 一案双申
CN209163826U,一种高原高寒地震带隧道保温减震结构,2018-11-13,2019-07-26,中交隧道局第四工程有限公司 | 成都交竢工程科技有限公司,孙永清 | 李学智 | 刘明江 | 王渊 | 张国强 | 王春早 | 胡川 | 周平,未缴年费
CN111485938A,防护台车支架,2020-05-14,2020-08-04,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 向大强 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,撤回
CN112065432A,一种穿过活动断层破碎带的隧道结构及其施工方法,2020-09-14,2020-12-11,浙江华东工程咨询有限公司 | 中国电建集团华东勘测设计研究院有限公司,张强 | 陈永红 | 单治钢 | 叶武,实质审查
CN212406764U,一种基于大变形隧道环向释压导洞的锚筒结构,2020-07-30,2021-01-26,高速铁路建造技术国家工程实验室 | 中南大学,余志武 | 傅金阳 | 税明东 | 徐光阳 | 王宇,授权
CN112780335A,防护台车支架,2021-01-04,2021-05-11,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 向大强 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,实质审查 | 一案双申
CN214196390U,防护台车支架,2021-01-04,2021-09-14,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 向大强 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 闫肃 | 武彬华 | 马利 | 冯义涛 | 李永刚,授权 | 一案双申
CN113947014A,基于BIM的隧道火灾应急救援方法、终端及存储介质,2021-09-15,2022-01-18,江苏中云筑智慧运维研究院有限公司 | 东南大学,高帅 | 杨国玉 | 李寒冰 | 王盼 | 万春风 | 杨才千,实质审查
CN109900548A,一种低温冻土三轴仪,2019-03-22,2019-06-18,崔凯 | 西南交通大学,崔凯 | 张继勋 | 秦晓同 | 郭国庆,授权
CN110865020A,高原低温低压环境实验模拟箱,2019-12-12,2020-03-06,中南大学 | 中铁二院工程集团有限责任公司 | 中国铁道科学研究院集团有限公司,曾晓辉 | 林艺鹏 | 刘明君 | 谭盐宾 | 潘自立 | 辜英晗 | 赵万强 | 上官明辉 | 龙广成 | 谢友均 | 马聪 | 马昆林,实质审查 | 一案双申
CN211785020U,高原低温低压环境实验模拟箱,2019-12-12,2020-10-27,中南大学 | 中铁二院工程集团有限责任公司 | 中国铁道科学研究院集团有限公司,曾晓辉 | 林艺鹏 | 刘明君 | 谭盐宾 | 潘自立 | 辜英晗 | 赵万强 | 上官明辉 | 龙广成 | 谢友均 | 马聪 | 马昆林,授权 | 一案双申
CN109900548B,一种低温冻土三轴仪,2019-03-22,2020-12-11,崔凯 | 西南交通大学,崔凯 | 张继勋 | 秦晓同 | 郭国庆,授权
CN111795739A,微震传感器,2020-07-16,2020-10-20,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,陈炳瑞 | 王旭 | 王睿 | 朱新豪 | 李涛 | 魏凡博 | 王庆,授权
CN111880220A,震源定位方法、装置、设备和存储介质,2020-09-07,2020-11-03,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,李涛 | 陈炳瑞 | 王睿 | 朱新豪 | 王旭 | 王庆,授权
CN112627873A,一种岩爆防治装置以及防治方法,2020-12-15,2021-04-09,西南交通大学 | 中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,罗勋 | 王庆 | 王睿 | 陈炳瑞,授权
CN111795739B,微震传感器,2020-07-16,2021-07-20,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,陈炳瑞 | 王旭 | 王睿 | 朱新豪 | 李涛 | 魏凡博 | 王庆,授权
CN112627873B,一种岩爆防治装置以及防治方法,2020-12-15,2021-11-30,西南交通大学 | 中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,罗勋 | 王庆 | 王睿 | 陈炳瑞,授权
CN215369943U,一种可移动的便携式高海拔隧道供氧装置,2021-06-24,2021-12-31,北京科技大学 | 川藏铁路有限公司,莫晓雨 | 蒋仲安 | 史代宣 | 王祥 | 许强 | 罗勋,授权
CN114004104A,基于棋盘格测试的CORS站点选取方法,2021-11-09,2022-02-01,中铁第一勘察设计院集团有限公司 | 川藏铁路技术创新中心有限公司,周东卫 | 武瑞宏 | 汤伟尧 | 张波 | 张良会 | 张永刚 | 吕菲,实质审查
CN111880220B,震源定位方法、装置、设备和存储介质,2020-09-07,2022-02-22,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,李涛 | 陈炳瑞 | 王睿 | 朱新豪 | 王旭 | 王庆,授权
CN114359876A,一种车辆目标识别方法及存储介质,2022-03-21,2022-04-15,成都奥伦达科技有限公司 | 川藏铁路技术创新中心有限公司,刘健飞 | 束子贤 | 江亮亮 | 余建乐 | 魏新元,公开
CN114399762A,一种道路场景点云分类方法及存储介质,2022-03-23,2022-04-26,成都奥伦达科技有限公司 | 川藏铁路技术创新中心有限公司,刘健飞 | 陈薪宇 | 江亮亮 | 张波 | 魏新元,公开
